Date,Open,High,Low,Close*,Adj Close**,Volume
28-May-21,"4,210.77","4,218.36","4,203.57","4,204.11","4,204.11","4,199,270,000"
27-May-21,"4,201.94","4,213.38","4,197.78","4,200.88","4,200.88","5,201,110,000"
26-May-21,"4,191.59","4,202.61","4,184.11","4,195.99","4,195.99","3,674,490,000"
25-May-21,"4,205.94","4,213.42","4,182.52","4,188.13","4,188.13","3,420,870,000"
24-May-21,"4,170.16","4,209.52","4,170.16","4,197.05","4,197.05","2,947,400,000"
21-May-21,"4,168.61","4,188.72","4,151.72","4,155.86","4,155.86","3,344,620,000"
20-May-21,"4,121.97","4,172.80","4,121.97","4,159.12","4,159.12","3,019,060,000"
19-May-21,"4,098.45","4,116.93","4,061.41","4,115.68","4,115.68","3,485,550,000"
18-May-21,"4,165.94","4,169.15","4,125.99","4,127.83","4,127.83","3,559,790,000"
17-May-21,"4,169.92","4,171.92","4,142.69","4,163.29","4,163.29","3,307,130,000"
14-May-21,"4,129.58","4,183.13","4,129.58","4,173.85","4,173.85","3,251,920,000"
13-May-21,"4,074.99","4,131.58","4,074.99","4,112.50","4,112.50","3,687,780,000"
12-May-21,"4,130.55","4,134.73","4,056.88","4,063.04","4,063.04","3,735,080,000"
11-May-21,"4,150.34","4,162.04","4,111.53","4,152.10","4,152.10","3,593,110,000"
10-May-21,"4,228.29","4,236.39","4,188.13","4,188.43","4,188.43","3,678,970,000"
7-May-21,"4,210.34","4,238.04","4,201.64","4,232.60","4,232.60","4,013,060,000"
6-May-21,"4,169.14","4,202.70","4,147.33","4,201.62","4,201.62","4,504,860,000"
5-May-21,"4,177.06","4,187.72","4,160.94","4,167.59","4,167.59","4,029,050,000"
4-May-21,"4,179.04","4,179.04","4,128.59","4,164.66","4,164.66","4,441,080,000"
3-May-21,"4,191.98","4,209.39","4,188.03","4,192.66","4,192.66","4,061,170,000"
30-Apr-21,"4,198.10","4,198.10","4,174.85","4,181.17","4,181.17","4,273,680,000"
29-Apr-21,"4,206.14","4,218.78","4,176.81","4,211.47","4,211.47","4,288,940,000"
28-Apr-21,"4,185.14","4,201.53","4,181.78","4,183.18","4,183.18","3,772,390,000"
27-Apr-21,"4,188.25","4,193.35","4,176.22","4,186.72","4,186.72","3,703,240,000"
26-Apr-21,"4,185.03","4,194.19","4,182.36","4,187.62","4,187.62","3,738,920,000"
23-Apr-21,"4,138.78","4,194.17","4,138.78","4,180.17","4,180.17","3,568,080,000"
22-Apr-21,"4,170.46","4,179.57","4,123.69","4,134.98","4,134.98","4,235,040,000"
*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,,,,,,
